Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Utah Jazz,58,13920,41.6,88.0,.473,14.9,41.2,.361,26.7,46.8,.571,18.2,23.3,.783,10.5,36.7,47.1,22.8,7.3,5.0,14.5,19.4,116.3
2,Atlanta Hawks,58,13920,42.1,90.0,.468,13.0,34.4,.377,29.1,55.6,.523,17.9,22.2,.807,10.2,35.3,45.5,25.0,7.1,4.5,12.7,19.0,115.0
3,Chicago Bulls,59,14185,42.6,88.3,.483,11.4,30.2,.376,31.3,58.0,.539,17.5,21.4,.817,9.0,34.9,43.9,24.8,7.2,4.5,13.2,18.9,114.1
4,Phoenix Suns,58,13945,43.4,90.0,.482,11.3,31.4,.360,32.0,58.6,.547,16.0,20.2,.791,10.2,36.2,46.4,27.1,8.6,4.3,13.0,19.3,114.1
5,Memphis Grizzlies,60,14475,42.8,93.3,.459,11.1,32.5,.341,31.8,60.8,.522,16.8,22.9,.734,13.8,35.0,48.8,25.3,10.1,6.3,13.3,19.4,113.6
6,Milwaukee Bucks,60,14450,41.1,89.3,.460,14.2,39.3,.361,26.9,50.0,.539,17.1,22.0,.775,10.2,36.3,46.6,23.4,7.7,4.1,13.6,18.1,113.5
7,Miami Heat,59,14335,40.8,88.7,.460,13.8,37.1,.373,26.9,51.5,.522,17.4,21.4,.812,11.2,35.2,46.4,26.7,7.7,3.4,15.4,21.4,112.8
8,Denver Nuggets,58,13970,42.0,88.8,.473,13.3,37.4,.355,28.7,51.3,.559,15.4,19.6,.790,9.4,35.6,45.1,27.8,7.3,3.7,14.7,19.7,112.6
9,Toronto Raptors,57,13805,41.6,94.0,.443,12.7,35.9,.354,28.9,58.0,.498,16.3,21.5,.758,13.6,32.7,46.3,22.7,9.5,4.9,13.2,20.5,112.2
10,Minnesota Timberwolves,59,14260,40.6,90.8,.447,14.3,41.1,.347,26.3,49.7,.529,16.6,21.8,.763,11.8,32.6,44.4,24.9,8.6,5.8,14.3,21.4,112.1
11,Golden State Warriors,59,14210,40.7,87.3,.466,14.7,40.6,.362,26.1,46.8,.557,15.7,20.6,.763,9.8,36.5,46.3,27.5,9.4,4.9,15.4,20.6,111.8
12,Brooklyn Nets,59,14210,41.7,89.4,.467,11.3,32.2,.351,30.5,57.2,.532,17.0,21.0,.806,10.4,34.9,45.2,25.0,7.1,5.4,13.9,20.1,111.7
13,Charlotte Hornets,60,14575,41.4,90.6,.456,13.4,37.7,.356,27.9,52.9,.528,15.6,21.1,.737,10.8,33.5,44.3,26.7,8.5,4.7,13.1,19.6,111.7
14,San Antonio Spurs,59,14235,43.3,92.8,.466,11.1,31.3,.354,32.2,61.5,.523,13.8,18.5,.743,11.0,34.2,45.2,27.9,7.7,5.1,12.5,17.8,111.4
15,Philadelphia 76ers,58,14020,40.7,88.1,.462,11.3,31.8,.355,29.5,56.3,.523,18.6,22.8,.813,8.9,35.0,43.8,23.8,7.8,5.8,12.9,19.8,111.3
16,Boston Celtics,60,14600,40.5,89.3,.453,12.8,37.3,.344,27.6,51.9,.532,17.3,21.3,.814,10.9,36.7,47.6,24.1,7.4,6.2,14.4,19.0,111.1
17,Dallas Mavericks,59,14235,40.7,89.4,.455,13.2,38.5,.343,27.5,50.9,.539,16.5,21.5,.766,9.9,35.6,45.4,24.7,7.3,4.3,13.1,20.7,111.0
18,Indiana Pacers,60,14550,41.3,90.4,.457,11.9,35.7,.335,29.4,54.7,.538,16.3,21.4,.761,11.3,33.9,45.2,24.9,7.0,5.6,14.5,20.7,110.9
19,Cleveland Cavaliers,58,13920,41.1,88.2,.466,12.2,34.5,.353,29.0,53.7,.540,16.3,21.6,.755,10.7,35.9,46.6,26.2,7.5,4.5,15.4,17.6,110.8
20,Portland Trail Blazers,59,14185,39.8,88.8,.449,13.8,38.7,.356,26.1,50.0,.521,16.8,22.0,.762,10.5,34.5,45.0,23.4,7.8,4.7,14.1,20.3,110.2
21,Washington Wizards,58,14020,40.9,88.2,.464,10.4,31.7,.328,30.5,56.5,.541,17.5,22.4,.780,9.5,35.4,44.9,24.6,6.5,5.0,13.6,19.3,109.8
22,Sacramento Kings,60,14475,40.5,88.8,.456,11.6,33.7,.345,28.9,55.1,.525,17.1,22.3,.765,10.2,33.5,43.6,23.3,7.2,4.6,14.1,19.1,109.7
23,New Orleans Pelicans,59,14210,40.1,89.7,.447,11.1,33.7,.328,29.1,56.1,.519,18.2,22.9,.794,11.8,34.6,46.4,25.4,7.7,4.3,14.8,20.4,109.5
24,Los Angeles Lakers,58,14145,40.7,87.4,.466,11.8,33.8,.349,28.9,53.6,.540,15.8,22.0,.720,9.4,34.6,44.0,23.8,7.9,5.6,14.4,19.8,109.1
25,New York Knicks,59,14260,38.9,89.7,.434,13.5,38.4,.352,25.4,51.3,.495,17.5,23.4,.752,11.9,35.9,47.8,22.3,7.2,5.2,14.1,20.7,109.0
26,Los Angeles Clippers,61,14690,40.2,88.5,.455,12.6,34.6,.363,27.7,53.8,.514,15.1,19.4,.782,9.0,35.4,44.4,23.9,7.7,4.6,14.3,18.9,108.1
27,Houston Rockets,58,13945,38.3,84.9,.451,13.1,38.2,.343,25.1,46.7,.539,17.7,24.7,.716,9.7,32.2,41.9,22.8,7.1,4.6,16.8,20.0,107.3
28,Orlando Magic,60,14425,38.2,88.3,.433,12.0,36.4,.330,26.2,51.9,.505,15.6,19.8,.787,9.1,34.6,43.7,23.4,6.9,4.8,14.8,19.8,104.1
29,Detroit Pistons,58,13970,37.6,89.3,.421,11.2,34.9,.320,26.4,54.4,.486,17.0,22.0,.775,11.0,32.2,43.2,22.8,7.8,4.8,14.7,21.7,103.4
30,Oklahoma City Thunder,58,13995,38.0,90.9,.418,11.9,38.1,.313,26.0,52.7,.493,15.0,19.6,.762,10.8,36.1,46.9,21.8,7.6,4.7,13.7,18.4,102.8
